                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.5836,                0.44342,                0.35707,                0.90409,                0.97573,                 0.9959,                0.99254,                0.89788,                0.95331,                0.97291,                0.95969,                0.59319,                0.45375,                0.23518,                0.25395,                0.88078,              0.0008045,              0.0008045,              0.0008045
                     75,                0.58871,                0.44821,                 0.3591,                0.90505,                0.98562,                0.99219,                0.99414,                0.90944,                0.98073,                0.98741,                 0.9924,                0.61963,                0.43426,                0.22999,                0.24739,                0.87337,             0.00079831,             0.00079831,             0.00079831
                     76,                0.57782,                0.43559,                 0.3557,                0.90114,                0.97898,                0.99808,                0.99434,                 0.9133,                0.97532,                0.99436,                0.99348,                0.63241,                0.43879,                0.22808,                0.24592,                0.87495,             0.00079213,             0.00079213,             0.00079213
                     77,                0.56659,                0.42401,                0.34268,                0.89612,                0.98967,                0.99699,                0.99465,                 0.9076,                0.98596,                0.99328,                0.99325,                0.60906,                0.44584,                 0.2326,                0.24753,                0.87901,             0.00078594,             0.00078594,             0.00078594
                     78,                0.57799,                0.43108,                0.34913,                0.90191,                0.99317,                0.99371,                0.99475,                0.92123,                 0.9902,                0.99061,                0.99316,                 0.6322,                0.41631,                0.22839,                 0.2377,                0.86784,             0.00077975,             0.00077975,             0.00077975
                     79,                0.57375,                 0.4426,                0.34794,                0.90058,                0.98819,                0.99537,                0.99486,                0.91466,                0.98363,                0.99082,                0.99376,                0.63395,                0.45017,                0.22504,                0.24356,                 0.8769,             0.00077356,             0.00077356,             0.00077356
                     80,                0.56132,                0.43137,                0.33811,                0.89707,                0.99437,                 0.9961,                 0.9948,                0.91945,                0.99164,                0.99266,                0.99333,                0.62862,                0.42133,                0.22627,                0.23298,                0.86682,             0.00076738,             0.00076738,             0.00076738
                     81,                0.56487,                0.45131,                 0.3467,                0.89815,                0.99079,                0.98544,                0.99471,                0.91375,                0.98739,                0.98208,                0.99323,                0.62924,                0.42308,                 0.2241,                0.23307,                0.87052,             0.00076119,             0.00076119,             0.00076119
                     82,                0.56663,                0.42914,                 0.3464,                0.90231,                0.98947,                0.99823,                0.99472,                0.91462,                0.98026,                0.98901,                0.98704,                0.60583,                0.42225,                0.23041,                 0.2447,                0.87052,               0.000755,               0.000755,               0.000755
                     83,                0.56327,                  0.446,                0.34202,                0.89327,                0.99604,                0.99549,                 0.9948,                0.91791,                0.99293,                0.99238,                0.99386,                0.61042,                0.43868,                0.22878,                0.23612,                0.87323,             0.00074881,             0.00074881,             0.00074881
                     84,                0.55805,                0.44219,                0.34342,                0.89441,                0.98957,                0.99505,                0.99463,                0.91919,                0.97581,                0.98155,                0.97715,                0.62385,                0.42279,                0.22569,                0.23423,                0.86851,             0.00074263,             0.00074263,             0.00074263
                     85,                0.54745,                0.42553,                0.33034,                 0.8875,                 0.9937,                 0.9995,                0.99492,                0.91923,                0.99069,                0.99647,                0.99383,                0.63152,                0.41576,                0.22941,                0.23446,                 0.8664,             0.00073644,             0.00073644,             0.00073644
                     86,                0.56544,                0.42064,                0.33741,                0.89601,                 0.9953,                0.99831,                0.99491,                0.92174,                 0.9929,                 0.9959,                0.99429,                0.63597,                0.42437,                0.22324,                0.23399,                 0.8674,             0.00073025,             0.00073025,             0.00073025
                     87,                0.55929,                0.44661,                0.33991,                0.89376,                0.98958,                0.99747,                0.99485,                0.92065,                 0.9859,                0.99376,                0.99233,                 0.6173,                 0.4118,                0.22483,                0.22855,                0.86511,             0.00072406,             0.00072406,             0.00072406
                     88,                0.55998,                0.43233,                0.33643,                0.89279,                 0.9938,                0.99744,                0.99489,                0.92074,                0.99158,                0.99521,                0.99363,                0.64299,                0.42837,                0.21816,                 0.2283,                0.87088,             0.00071788,             0.00071788,             0.00071788
                     89,                0.55055,                0.43443,                0.33385,                0.89009,                0.99245,                0.99563,                0.99493,                0.92023,                 0.9853,                 0.9884,                0.99093,                0.60843,                0.41701,                  0.225,                0.22647,                0.86582,             0.00071169,             0.00071169,             0.00071169
                     90,                0.55053,                0.42604,                0.33244,                0.89212,                 0.9905,                0.99486,                0.99454,                0.91759,                0.98709,                0.99144,                0.99311,                0.64501,                0.41239,                0.21909,                0.22544,                 0.8638,              0.0007055,              0.0007055,              0.0007055
                     91,                0.54001,                0.42887,                0.32777,                0.89068,                0.98327,                 0.9995,                0.99424,                0.93284,                0.98094,                0.99715,                0.99314,                0.65008,                0.39586,                0.21672,                0.21657,                0.85972,             0.00069931,             0.00069931,             0.00069931
                     92,                0.54178,                0.42763,                0.32474,                0.89027,                0.99245,                0.99678,                0.99486,                0.92861,                0.99035,                0.99466,                0.99418,                0.65317,                0.39916,                0.21641,                0.22488,                0.85942,             0.00069313,             0.00069313,             0.00069313
                     93,                0.53896,                0.42558,                0.32317,                0.88767,                0.99532,                0.99793,                0.99487,                0.91026,                0.99308,                0.99569,                0.99367,                 0.6379,                0.43964,                0.22428,                0.23039,                0.86956,             0.00068694,             0.00068694,             0.00068694
                     94,                0.54208,                0.42412,                0.32147,                0.88841,                 0.9933,                0.99701,                0.99481,                0.92088,                0.99141,                0.99509,                0.99406,                0.63034,                 0.4063,                0.21905,                0.22327,                0.85853,             0.00068075,             0.00068075,             0.00068075
                     95,                0.52517,                0.42683,                0.32051,                0.88212,                0.99631,                0.99867,                0.99493,                0.92768,                0.99508,                0.99743,                0.99422,                0.65389,                0.38813,                0.21393,                0.21568,                0.85437,             0.00067456,             0.00067456,             0.00067456
                     96,                0.53214,                 0.4208,                0.31978,                0.88516,                0.99612,                0.99294,                0.99482,                0.93592,                0.99452,                0.99133,                 0.9939,                0.66134,                0.38845,                0.21407,                0.22025,                0.85822,             0.00066838,             0.00066838,             0.00066838
                     97,                 0.5331,                0.42177,                0.32394,                0.88494,                0.98547,                 0.9989,                0.99459,                0.92944,                0.98275,                0.99616,                0.99349,                0.65795,                0.39661,                0.21501,                0.22036,                0.85914,             0.00066219,             0.00066219,             0.00066219
                     98,                0.53143,                0.42229,                 0.3201,                0.88606,                0.99902,                0.99371,                 0.9949,                0.93319,                0.99634,                0.99103,                0.99393,                0.66237,                0.39165,                0.21511,                0.21481,                0.85646,               0.000656,               0.000656,               0.000656
                     99,                0.52669,                0.43198,                0.32227,                0.88468,                0.99434,                0.99743,                0.99498,                0.93392,                0.99246,                0.99555,                0.99433,                 0.6633,                0.38062,                 0.2135,                0.21075,                0.85437,             0.00064981,             0.00064981,             0.00064981
                    100,                0.52735,                0.42802,                0.31797,                 0.8825,                0.99739,                0.99866,                0.99492,                0.93781,                0.99311,                0.99437,                0.99375,                0.65581,                0.38326,                0.21951,                0.20746,                0.85376,             0.00064362,             0.00064362,             0.00064362
                    101,                 0.5275,                0.42441,                0.31831,                0.88268,                0.99316,                0.99794,                0.99483,                0.93891,                0.99068,                0.99545,                0.99391,                0.65325,                0.37421,                0.21829,                0.20978,                0.85132,             0.00063744,             0.00063744,             0.00063744
                    102,                 0.5284,                0.42985,                0.32295,                0.88567,                0.99701,                0.99667,                0.99499,                0.94048,                 0.9896,                0.98924,                0.98925,                 0.6394,                0.37447,                0.21798,                0.21271,                0.85192,             0.00063125,             0.00063125,             0.00063125
                    103,                0.51724,                0.40684,                0.31143,                0.88309,                0.99685,                 0.9964,                0.99498,                0.94444,                0.99434,                 0.9939,                0.99397,                0.64902,                0.36911,                0.21378,                0.20436,                0.85179,             0.00062506,             0.00062506,             0.00062506
